Category,Task,Prompt
"Authentication, Access, and Privilege",Account Lockout and Brute Force Analysis - Detect credential guessing or brute-force attempts.,"Input: exports from event logs in TXT, CSV, or JSON. Correlate multiple Event ID 4625 entries from a single IP or user within short intervals to flag potential brute-force behavior."
"Authentication, Access, and Privilege",Account Logon Analysis - Identify user authentication attempts and anomalies.,"Input: exports from Windows Security logs in TXT, CSV, or JSON for Event IDs 4624, 4625, and 4648. Identify successful and failed logons, noting source IPs, usernames, and logon types."
"Authentication, Access, and Privilege",Comprehensive Access Timeline Correlation - Build a unified logon and privilege-use timeline across all systems.,"Input: exports from Windows, Linux, and macOS authentication logs, RDP connections, and token data in TXT, CSV, or JSON. Integrate into a chronological model showing all account access events across endpoints."
"Authentication, Access, and Privilege",Credential Dumping Detection - Identify credential theft or memory extraction attempts.,"Input: exports from Security and Sysmon logs in TXT, CSV, or JSON. Inspect for process executions involving mimikatz, lsass access, or suspicious PowerShell commands referencing credential stores."
"Authentication, Access, and Privilege","Linux Authentication Analysis - Examine Linux logs for SSH, sudo, and privilege use.","Input: exports from /var/log/auth.log and bash history in TXT, CSV, or JSON. Identify SSH connections, failed logins, and privilege escalation via sudo or su commands."
"Authentication, Access, and Privilege",MacOS Authentication Artifacts - Reconstruct user logons and sudo activity on macOS.,"Input: exports from Unified Logs and ASL archives in TXT, CSV, or JSON. Analyze for authentication events, TCC database entries, and system login timestamps."
"Authentication, Access, and Privilege",Password Policy and Expiration Analysis,"Input: exports from domain or local password policies in TXT, CSV, or JSON. Extract last password change dates, and identify stale credentials that could facilitate persistence."
"Authentication, Access, and Privilege",Privilege Escalation Detection - Detect unauthorized assignment of administrative privileges.,"Input: exports from event logs in TXT, CSV, or JSON. Correlate Event IDs 4672, 4720, 4728, and 4732 to uncover privilege grants, new group memberships, or account creations with elevated rights."
"Authentication, Access, and Privilege",Remote Desktop Protocol (RDP) Activity - Track remote access connections and potential lateral movement.,"Input: exports from RDP connection logs, registry keys (Recent RDP MRUs), and firewall events in TXT, CSV, or JSON. Identify remote session origins and frequency."
"Authentication, Access, and Privilege",Token and Session Analysis - Trace reuse or theft of authentication tokens.,"Input: exports from Kerberos tickets, NTLM hashes, and token logs from memory captures in TXT, CSV, or JSON. Detect unusual reuse patterns or persistence mechanisms."
Browser Forensics,Recover user web activity and potential data exfiltration sites.,"Input: parsed exports from browser history, cookies, and cache from Chrome, Edge, and Firefox in TXT, CSV, DOC, XLS, XLSX, PDF, or JSON. Identify visited domains, search queries, and download activity."
Cloud and Virtualization Forensics,Cloud API Call Timeline Reconstruction,"Input: exports from CloudTrail or equivalent logs in TXT, CSV, or JSON. Reconstruct the order of API calls made by a suspect account."
Cloud and Virtualization Forensics,Cloud Backup and Replication Traceback,"Input: exports from backup system metadata in TXT, CSV, or JSON. Examine to identify when data was last intact before tampering."
Cloud and Virtualization Forensics,Cloud IAM Role Abuse Detection,"Input: exports from IAM logs in TXT, CSV, or JSON. Correlate to identify instances where privileged roles were assumed by unexpected accounts."
Cloud and Virtualization Forensics,Cloud Key Management Forensics,"Input: exports from access and usage logs for KMS or Secrets Manager in TXT, CSV, or JSON. Investigate to find unauthorized key operations."
Cloud and Virtualization Forensics,Cloud Network Flow Analysis,"Input: exports from VPC flow logs in TXT, CSV, or JSON. Analyze for data exfiltration or lateral movement."
Cloud and Virtualization Forensics,Cloud Resource Enumeration Timeline,"Input: exports from cloud provider APIs in TXT, CSV, or JSON. Reconstruct a timeline of cloud asset creation and deletion."
Cloud and Virtualization Forensics,Cloud Storage Access Logs Analysis,"Input: exports from S3 or Azure Blob access logs in TXT, CSV, or JSON. Analyze to identify unauthorized file downloads or sharing events."
Cloud and Virtualization Forensics,Hybrid Cloud Cross-Platform Correlation,"Input: exports from forensic data between on-premises and cloud resources in TXT, CSV, or JSON. Correlate to track attacker movement."
Cloud and Virtualization Forensics,Hypervisor Log Review,"Input: exports from hypervisor logs in TXT, CSV, or JSON. Examine for anomalies."
Cloud and Virtualization Forensics,Multi-Tenant Cloud Intrusion Analysis,"Input: exports from logs across tenants in TXT, CSV, or JSON. Analyze log correlation to detect coordinated attacks."
Cloud and Virtualization Forensics,Orchestrator Event Log Analysis,"Input: exports from orchestration system logs (Terraform) in TXT, CSV, or JSON. Review for events."
Cloud and Virtualization Forensics,SaaS Audit Trail Review,"Input: exports from audit trails of a SaaS platform in TXT, CSV, or JSON. Extract for review."
Cloud and Virtualization Forensics,Virtual Machine Snapshot Comparison,"Input: exports from two VM snapshots in TXT, CSV, or JSON. Compare to detect new or modified files."
Comprehensive Timeline Correlation,Unify all host-based artifacts into a single chronological activity model.,"Input: parsed exports from Prefetch, Registry, Event Logs, $MFT, and Browser artifacts in TXT, CSV, DOC, XLS, XLSX, PDF, or JSON. Integrate to generate a unified timeline that reconstructs the sequence of user and system actions during the event window."
Cross-Correlation,Cross-Correlate activity among multiple data sources looking for theft,"You now have access to [LIST DATA SOURCE NAMES OR PASTE DATA HERE].  Using these data sources and no other, Analyze and cross-correlate all activity among all these items that would indicate any attempt to access and copy data, any unauthorized access to systems, violate policy, steal funds, steal intellectual property, sell intellectual property, money changing hands, money associated with sales of any property, conspire with others to commit a crime, steal data or violations of sound information security / network security processes that can lead to any of the aforementioned. Also, what are the significant data security risks, if any. If any are found, please list, and why they indicate a security risk, including specific log data instead of just referencing the specific data source."
